pr_id,path,status,after_fetched,before_fetched,license_path
3219880512,autogpt_platform/backend/GCS_FILE_STORAGE.md,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_retrieve.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_store.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/monitoring/__init__.py,added,True,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/monitoring/gcs_cleanup_monitor.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/gcs_cleanup.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/examples/gcs_file_storage_example.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/test/blocks/test_gcs_file_store.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/GCS_FILE_STORAGE.md,modified,False,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_retrieve.py,modified,False,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_store.py,modified,False,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/monitoring/__init__.py,removed,n/a_removed,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/monitoring/gcs_cleanup_monitor.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/gcs_cleanup.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/examples/gcs_file_storage_example.py,modified,False,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/test/blocks/test_gcs_file_store.py,modified,False,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/cloud_storage_example.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_retrieve.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/blocks/gcs_file_store.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/server/routers/file_upload_test.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/server/routers/v1.py,modified,True,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/cloud_storage.py,added,True,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/cloud_storage_test.py,added,True,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/file.py,modified,True,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/backend/util/file_cloud_test.py,added,False,n/a_added,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/examples/gcs_file_storage_example.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,autogpt_platform/backend/test/blocks/test_gcs_file_store.py,removed,n/a_removed,False,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,.github/workflows/platform-backend-ci.yml,modified,True,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,.github/workflows/platform-frontend-ci.yml,modified,True,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
3219880512,.gitignore,modified,True,True,C:\Users\Alessandro\Desktop\Tesi\Tirocinio\tesi-setup\data\licenses\Significant-Gravitas__AutoGPT\LICENSE
